AcX,AcY,AcZ,FSR A,FSR B
,,,,
-14176,-6628,-2508,1212,0
,,,,
-14184,-6636,-2684,1210,0
,,,,
-14204,-6820,-2584,1217,0
,,,,
-14172,-6728,-2624,1209,0
,,,,
-14172,-6736,-2492,1201,0
,,,,
-14192,-6720,-2544,1215,0
,,,,
-14100,-6740,-2584,1216,0
,,,,
-14128,-6748,-2592,1232,0
,,,,
-14176,-6744,-2432,1210,0
,,,,
-14152,-6656,-2696,1200,0
,,,,
-14144,-6672,-2528,1207,0
,,,,
-14220,-6744,-2464,1217,0
,,,,
-14200,-6660,-2468,1213,0
,,,,
-14292,-6696,-2700,1210,0
,,,,
-14264,-6724,-2688,1201,0
